lineId,speakerId,expressionId,backgroundPath,text,nextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter_moteru_1_001,doute,normal,Assets/Art/Backgrounds/white_room.png,モテル、少し話を聞いてもいいか？,chapter_moteru_1_002,,,,
chapter_moteru_1_002,moteru,normal,,うん、大丈夫だよ……！なんでも聞いてっ！,chapter_moteru_1_003,,,,
chapter_moteru_1_003,doute,normal,,ん？今なんでもって……,chapter_moteru_1_004,,,,
chapter_moteru_1_004,moteru,normal,,ドウテくんは冗談が好きだねっ。頑張って答える……けど、変なことは聞かれても困るかなぁ。ごめんね……？,chapter_moteru_1_005,,,,
chapter_moteru_1_005,doute,normal,,いやむしろ変な冗談言ってごめん！それじゃお話よろしく！,chapter_moteru_1_006,,,,
chapter_moteru_1_006,doute,normal,,そういえばモテルはモテそうだけど恋愛経験はないんだっけか,chapter_moteru_1_007,,,,
chapter_moteru_1_007,moteru,normal,,うん、ないんだ。やっぱり相手とちゃんと向き合うべきだって考えると難しくて……,chapter_moteru_1_008,,,,
chapter_moteru_1_008,doute,normal,,まぁ、そうだよなぁ……。モテルならなにか聞けるかと思ったけど,chapter_moteru_1_009,,,,
chapter_moteru_1_009,moteru,normal,,そっそうなの？！……頑張るよ！何かあれば相談になら乗るからっ頼りにしてね。とはいっても経験はないからそんなに期待はできないけど……,chapter_moteru_1_010,,,,
chapter_moteru_1_010,doute,normal,,そんなことない！すごく助かるよっ！,chapter_moteru_1_011,,,,
chapter_moteru_1_011,doute,normal,,モテル自身は2人の中で気になった子とかいた？,chapter_moteru_1_012,,,,
chapter_moteru_1_012,moteru,normal,,えっ……僕はドウって、……少し難しくて、2人ともすごく素敵だけど、ドウテくんはどう？,chapter_moteru_1_013,,,,
chapter_moteru_1_013,doute,normal,,うーん、難しいところだね……。2人とも変わってるし、いっそモテルが女の子なら大優勝だったな！,chapter_moteru_1_014,,,,
chapter_moteru_1_014,moteru,normal,,へっ？！ド、ドウテくんも冗談が好きだね……！僕も女の子なら……なんてねっ！,chapter_moteru_1_015,,,,
