lineId,speakerId,expressionId,backgroundPath,text,nextLineId,choice1Text,choice1NextLineId,choice2Text,choice2NextLineId,choice3Text,choice3NextLineId,choice4Text,choice4NextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
prologue2_001,doute,normal,Assets/Art/Backgrounds/white_room.png,んん……はっ！今何時……って、どこだここ！,prologue2_002,,,,,,,,,,
prologue2_002,doute,normal,,…………！こほんっ,prologue2_003,,,,,,,,,,
prologue2_003,doute,normal,,知らない天井だ……,,ヲタクすぎるだろ……,prologue2_004,記念すべき初選択肢ここで使うの？,prologue2_004,ノーコメントだよ,prologue2_004,エ〇パロですよ！見てください！,prologue2_004,,
prologue2_004,doute,normal,,うわっ何この声っ！脳内に直接……！,,ヲタクすぎるだろ……,prologue2_005,……,prologue2_005,ノーコメント星人だよ,prologue2_005,なんかえっちじゃない？,prologue2_005,,
prologue2_005,doute,normal,,まただ……明らかになにかいる！まさか誘拐犯……？,,違うよ,prologue2_006,,,,,,,,
prologue2_006,doute,normal,,あっ違うんだ……というより意思疎通が成功した？！,prologue2_007,,,,,,,,,,
prologue2_007,doute,normal,,この部屋といいこの声といいなんなんだ……,prologue2_008,,,,,,,,,,
prologue2_008,doute,normal,,えっと、ひとまず天の声……は言いずらいな,prologue2_009,,,,,,,,,,
prologue2_009,doute,normal,,うーん……,prologue2_010,,,,,,,,,,
prologue2_010,doute,normal,,プレイヤーさん,prologue2_011,,,,,,,,,,
prologue2_011,doute,normal,,この部屋がなにか分かりますか？……ってひとりで何やってんだ俺は,,知らんがな,prologue2_question_a,白い部屋だね,prologue2_question_b,実は自分こそ黒幕……,prologue2_question_c,えっちな部屋だね,prologue2_question_d,,
prologue2_question_a,doute,normal,,投げやりすぎる……！,prologue2_012,,,,,,,,,,
prologue2_question_b,doute,normal,,えっと、その通りではあるんだけど……そうじゃねえ！,prologue2_012,,,,,,,,,,
prologue2_question_c,doute,normal,,近年のソシャゲ主人公くらい自由だなこの人……,prologue2_012,,,,,,,,,,
prologue2_question_d,doute,normal,,頭をよぎったことは否定しないけど言葉強くないか？！,prologue2_012,,,,,,,,,,
prologue2_012,doute,normal,,とりあえず！,prologue2_013,,,,,,,,,,
prologue2_013,doute,normal,,俺の言葉が聞こえてる協力的……かは分からないけど、何者かがいる！,prologue2_014,,,,,,,,,,
prologue2_014,doute,normal,,俺は蓮愛ドウテです！お願いです！協力してください！,prologue2_015,,,,,,,,,,
prologue2_015,doute,normal,,誘拐だろうが愉快犯だろうがこっちにとっては有害なんですよ！,prologue2_016,,,,,,,,,,
prologue2_016,doute,normal,,助けて！ほんと！マジで！,,わかったよ,prologue2_accept_001,ん？今何でもって……,prologue2_retry1_a,だが断る,prologue2_retry1_b,,,,
prologue2_retry1_a,doute,normal,,言ってねえ！けど、気持ち的にはそれくらいなんでっ！,,わかったよ,prologue2_accept_001,ん？今何でもって……,prologue2_retry2_a,だが断る,prologue2_retry2_b,,,,
prologue2_retry1_b,doute,normal,,助けて！ほんと！マジで！！,,わかったよ,prologue2_accept_001,ん？今何でもって……,prologue2_retry2_a,だが断る,prologue2_retry2_b,,,,
prologue2_retry2_a,doute,normal,,言ってねえ！けど、気持ち的にはそれくらいなんでっ！,,わかったよ,prologue2_accept_001,ん？今何でもって……,prologue2_retry3_a,だが断る,prologue2_retry3_b,,,,
prologue2_retry2_b,doute,normal,,助けて！ほんと！マジで！！！,,わかったよ,prologue2_accept_001,ん？今何でもって……,prologue2_retry3_a,だが断る,prologue2_retry3_b,,,,
prologue2_retry3_a,doute,normal,,言ってねえ！けど、気持ち的にはそれくらいなんでっ！,,わかったよ,prologue2_accept_001,,,,,,,,
prologue2_retry3_b,doute,normal,,この人めんどくせえ！選択肢は次で最後ですからね！,,わかったよ,prologue2_accept_001,,,,,,,,
prologue2_accept_001,doute,normal,,ありがとうございます！,prologue2_accept_002,,,,,,,,,,
prologue2_accept_002,doute,normal,,何はともあれ！,prologue2_accept_003,,,,,,,,,,
prologue2_accept_003,doute,normal,,引き受けて！,prologue2_accept_004,,,,,,,,,,
prologue2_accept_004,doute,normal,,くれるんですよね！,prologue2_accept_005,,,,,,,,,,
prologue2_accept_005,doute,normal,,重ねてありがとうございます！,prologue2_accept_006,,,,,,,,,,
prologue2_accept_006,doute,normal,,よろしくお願いしますね！プレイヤーさんっ！,,,,,,,,,,,
