lineId,speakerId,expressionId,backgroundPath,text,nextLineId,choice1Text,choice1NextLineId,choice2Text,choice2NextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter_yowashi_4_001,doute,normal,,（何か変なものまで飛んできてなかった……？）,chapter_yowashi_4_002,,,,,,,,
chapter_yowashi_4_002,yowashi,normal,,よく……やったぞ……ドウテ卿！！,chapter_yowashi_4_003,,,,,,,,
chapter_yowashi_4_003,doute,normal,,光栄です、ヨワシ様,chapter_yowashi_4_004,,,,,,,,
chapter_yowashi_4_004,yowashi,normal,,この……試練に……合格した……証として……この本を……やろう,chapter_yowashi_4_005,,,,,,,,
chapter_yowashi_4_005,doute,normal,,こ、この本は！？,chapter_yowashi_4_006,,,,,,,,
chapter_yowashi_4_006,yowashi,normal,,実は……ここに……たまたま……落ちてた……だけだから……私も……読んだこと……なくて……何の本かすら……知らない……,chapter_yowashi_4_007,,,,,,,,
chapter_yowashi_4_007,doute,normal,,えぇ……\nまあヨワシちゃんからのプレゼントだからこそ、ありがたくもらうよ！ありがとう！,chapter_yowashi_4_008,,,,,,,,
chapter_yowashi_4_008,,,,［何かの本］を手に入れた！,chapter_yowashi_4_009,,,,,,,,
chapter_yowashi_4_009,yowashi,normal,,うむ……苦しゅう……ない……,chapter_yowashi_4_010,,,,,,,,
chapter_yowashi_4_010,doute,normal,,いや苦しゅうないは嘘じゃない？めっちゃ苦しそうだけど……,chapter_yowashi_4_011,,,,,,,,
chapter_yowashi_4_011,yowashi,normal,,仕方ない……ひとまず……今日はこれで……撤退しよう……,chapter_yowashi_4_012,,,,,,,,
chapter_yowashi_4_012,doute,normal,,ゆっくり休んでね、ヨワシちゃん,chapter_yowashi_4_013,,,,,,,,
chapter_yowashi_4_013,doute,normal,,（おかしいな、キャッチボールって言っても2分くらいしかやってないと思うんだけど……あんなに息切れするもんかな？）,chapter_yowashi_4_014,,,,,,,,
chapter_yowashi_4_014,,,,［情報］ヨワシは息切れしやすいを手に入れた,chapter_yowashi_4_015,,,,,,,,
chapter_yowashi_4_015,doute,normal,,ヨワシちゃんからもらった本、せっかくなら見てみようかな,chapter_yowashi_4_016,,,,,,,,
chapter_yowashi_4_016,doute,normal,,何だこの本は？専門用語が多すぎてよく分からない……,chapter_yowashi_4_017,,,,,,,,
chapter_yowashi_4_017,moteru,normal,,ドウテくんこんにちは。どうしたの？そんなに難しい顔して,chapter_yowashi_4_018,,,,,,,,
chapter_yowashi_4_018,doute,normal,,ん？モテル！！もしかしてモテルってこの本ってどんな本かわかったりしない？,chapter_yowashi_4_019,,,,,,,,
chapter_yowashi_4_019,moteru,normal,,これは……僕もそこまでよく分からないけど、医学書じゃないかな？SpO2っていうのは聞いたことあるよ。確か……血管の中の酸素濃度じゃなかった？,chapter_yowashi_4_020,,,,,,,,
chapter_yowashi_4_020,doute,normal,,え？医学書？,chapter_yowashi_4_021,,,,,,,,
chapter_yowashi_4_021,moteru,normal,,うん。このあたり、喘息について書いてあるよ。こんな本ドウテくんは持ってたんだね！やっぱり凄いよ！！,chapter_yowashi_4_022,,,,,,,,
chapter_yowashi_4_022,doute,normal,,いやごめん……これその辺に落ちてた本らしくてさ……\nっていうか、モテルはどうしてそんなこと知ってたんだ？そういうのってあんまり勉強する機会なくない？,chapter_yowashi_4_023,,,,,,,,
chapter_yowashi_4_023,moteru,normal,,いやまぁそれは……憧れの人に何かあったらｺﾞﾆｮｺﾞﾆｮ……,chapter_yowashi_4_024,,,,,,,,
chapter_yowashi_4_024,doute,normal,,？\nよく聞こえなかったからもう一度行ってくれないか？,chapter_yowashi_4_025,,,,,,,,
chapter_yowashi_4_025,moteru,normal,,だ、大丈夫！大したことじゃないから……\nそれよりこの本に書いてあること、ざっくりでいいなら教えようか？僕がわかることだけだけど……,chapter_yowashi_4_026,,,,,,,,
chapter_yowashi_4_026,doute,normal,,ぜひともお願いいたします、モテル様,chapter_yowashi_4_027,,,,,,,,
chapter_yowashi_4_027,moteru,normal,,なんだかくすぐったいね。頑張るよ！,chapter_yowashi_4_028,,,,,,,,
chapter_yowashi_4_028,,,,（その後3時間ほどみっちり医学書の内容を教え込まれた。）,chapter_yowashi_4_029,,,,,,,,
chapter_yowashi_4_029,,,,［情報］医学書の知識を手に入れた！,,,,,,,,,
