lineId,speakerId,expressionId,backgroundPath,text,nextLineId,choice1Text,choice1NextLineId,choice2Text,choice2NextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter_yowashi_3_001,doute,normal,,これは……日記？,chapter_yowashi_3_002,,,,,,,,
chapter_yowashi_3_002,,,,『20XX年4月8日』,chapter_yowashi_3_003,,,,,,,,
chapter_yowashi_3_003,,,,今年も入学式に行けなかった。いくら私が体調は大丈夫だって言っても、ママは聞いてくれない。なんで私の言うことを信じてくれないんだろう。,chapter_yowashi_3_004,,,,,,,,
chapter_yowashi_3_004,,,,『20XX年5月12日』,chapter_yowashi_3_005,,,,,,,,
chapter_yowashi_3_005,,,,今年初めて学校に行けた。何回もママにおねだりした甲斐があったかも。とても嬉しかったのに、学校に行ってみたら咳が止まらなくなった。なんで？友達はすごく心配してくれたのに、私は、私は、私は,chapter_yowashi_3_006,,,,,,,,
chapter_yowashi_3_006,,,,『20XX年5月13日』,chapter_yowashi_3_007,,,,,,,,
chapter_yowashi_3_007,,,,私は今日から弱音を吐かないことにした。そのためには明るくいよう。だって漫画のキャラクターで弱音吐いてる子なんて誰もいない。あのキャラみたいになりたい。,chapter_yowashi_3_008,,,,,,,,
chapter_yowashi_3_008,,,,『20XX年6月6日』,chapter_yowashi_3_009,,,,,,,,
chapter_yowashi_3_009,,,,大丈夫、私は明るい子、強い子、大丈夫。,chapter_yowashi_3_010,,,,,,,,
chapter_yowashi_3_010,,,,『20XX年6月7日』,chapter_yowashi_3_011,,,,,,,,
chapter_yowashi_3_011,,,,大丈夫、私は明るい子、強い子、大丈夫。,chapter_yowashi_3_012,,,,,,,,
chapter_yowashi_3_012,,,,『20XX年9月11日』,chapter_yowashi_3_013,,,,,,,,
chapter_yowashi_3_013,,,,大丈夫、私は明るい子、強い子、大丈夫,chapter_yowashi_3_014,,,,,,,,
chapter_yowashi_3_014,,,,（これ以降、同じ言葉が時々書かれているだけだ）,chapter_yowashi_3_015,,,,,,,,
chapter_yowashi_3_015,doute,normal,,（これは……誰かの日記？まさかヨワシちゃん……？いやまさかね。あんなに明るい子なのにそんなことないよね！一応ヨワシちゃんに確認してみよう）,chapter_yowashi_3_016,,,,,,,,
chapter_yowashi_3_016,,,,［誰かの日記］を手に入れた,chapter_yowashi_3_017,,,,,,,,
chapter_yowashi_3_017,,,,（翌日？）,chapter_yowashi_3_018,,,,,,,,
chapter_yowashi_3_018,yowashi,normal,,おはようドウテ卿！いい朝だねぇ,chapter_yowashi_3_019,,,,,,,,
chapter_yowashi_3_019,doute,normal,,なんか出世してる！下僕だったのに！,chapter_yowashi_3_020,,,,,,,,
chapter_yowashi_3_020,yowashi,normal,,それはそうであろう。なにせ聖典について熱く語り合ったのだから！！,chapter_yowashi_3_021,,,,,,,,
chapter_yowashi_3_021,doute,normal,,それで上がる地位とは？って感じだけどね〜\nそういえば、この本みたいなものが落ちてたんだけど、見覚えとかない？,chapter_yowashi_3_022,,,,,,,,
chapter_yowashi_3_022,yowashi,normal,,……,chapter_yowashi_3_023,,,,,,,,
chapter_yowashi_3_023,doute,normal,,ヨワシちゃん？,chapter_yowashi_3_024,,,,,,,,
chapter_yowashi_3_024,yowashi,normal,,はっ！！いや、この日記は知らんぞ。見たこともない！ただ魔力を感じるからこれは私が預かろう。,chapter_yowashi_3_025,,,,,,,,
chapter_yowashi_3_025,doute,normal,,（あれ？俺、日記って言ったっけ？）,chapter_yowashi_3_026,,,,,,,,
chapter_yowashi_3_026,doute,normal,,りょ、りょうかいです！ヨワシ様に捧げます,chapter_yowashi_3_027,,,,,,,,
chapter_yowashi_3_027,yowashi,normal,,うむ、苦しゅうない！ところで、余は今日やってみたいことがあるのだが、付き合ってくれるな？,chapter_yowashi_3_028,,,,,,,,
chapter_yowashi_3_028,doute,normal,,もちろんです！具体的に何するの？,chapter_yowashi_3_029,,,,,,,,
chapter_yowashi_3_029,yowashi,normal,,それはずばり……野球だ！！,chapter_yowashi_3_030,,,,,,,,
chapter_yowashi_3_030,doute,normal,,や、野球？,chapter_yowashi_3_031,,,,,,,,
chapter_yowashi_3_031,yowashi,normal,,うむ。『スペードのエース』がどうしてもかっこよくてな。,chapter_yowashi_3_032,,,,,,,,
chapter_yowashi_3_032,doute,normal,,野球か。やったことないな〜\n2人でやるならキャッチボール？,chapter_yowashi_3_033,,,,,,,,
chapter_yowashi_3_033,yowashi,normal,,やった！じゃあ自販機でボールを買ってきてよ〜,chapter_yowashi_3_034,,,,,,,,
chapter_yowashi_3_034,doute,normal,,りょーかい！,chapter_yowashi_3_035,,,,,,,,
chapter_yowashi_3_035,,,,（ボール購入）,chapter_yowashi_3_036,,,,,,,,
chapter_yowashi_3_036,yowashi,normal,,じゃあ早速始めよう！！,,,,,,,,,
