lineId,speakerId,expressionId,backgroundPath,text,nextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter1_001,moteru,normal,Assets/Art/Backgrounds/white_room.png,いたた……私のベッド固くないかい……？,chapter1_002,,,
chapter1_002,moteru,normal,,……すぅ,chapter1_003,,,
chapter1_003,moteru,normal,,ここは……どこ？！誘拐……？,chapter1_004,,,
chapter1_004,doute,normal,,わっ俺以外にも人がいたのか！色々ありすぎて気づかなかった……,chapter1_005,,,
chapter1_005,doute,normal,,とりあえずこの部屋の手がかりも欲しいし探索してみようかな……？,chapter1_006,,,
chapter1_006,doute,normal,,ひと通り探索したけど、出口がない、よな？あったのは変な扉だけ……プレイヤーさぁん……！,chapter1_007,,,
chapter1_007,moteru,normal,,あの……大丈夫？,chapter1_008,,,
chapter1_008,doute,normal,,うわっえっとその……これは一人で喋ってたわけではなくてですね……！,chapter1_009,,,
chapter1_009,moteru,normal,,えっと……なんのこと？,chapter1_010,,,
chapter1_010,doute,normal,,（もしかしてプレイヤーさんとの会話は他には聞こえてないのか……？）,chapter1_011,,,
chapter1_011,moteru,normal,,もし何か邪魔しちゃったのならごめんね。他の子に話しかけるのは緊張しちゃいそうで……君に話しかけたんだけど,chapter1_012,,,
chapter1_012,doute,normal,,あ、いや大丈夫だよっ！,chapter1_013,,,
chapter1_013,moteru,normal,,そう？ならよかった……！その、この部屋を出るためには少しでも手掛かりがほしいし落ち着くためにもみんなで協力出来ないかなって,chapter1_014,,,
chapter1_014,doute,normal,,それはそうだね！緊張しいって言ってたし他の2人は俺が呼んだ方がいいかな？,chapter1_015,,,
chapter1_015,moteru,normal,,いいの？,chapter1_016,,,
chapter1_016,doute,normal,,モーマンタイ！俺に任せてっ！,,,,
