lineId,speakerId,expressionId,backgroundPath,text,nextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter2_end_001,doute,normal,Assets/Art/Backgrounds/white_room.png,自己紹介はお互いにできたよね！,chapter2_end_002,,,
chapter2_end_002,yowashi,normal,,うんうん！我らは血の盟約を交わしたのだ……ねっカヨちゃん！,chapter2_end_003,,,
chapter2_end_003,kayo,normal,,ちょっと、ヨワシ……！そんなの知らないってば！,chapter2_end_004,,,
chapter2_end_004,moteru,normal,,みんな仲良くなれたみたいだね……！,chapter2_end_005,,,
chapter2_end_005,doute,normal,,仲良いのはいいけど話が進まなくなるからちょっと落ち着こう？！,chapter2_end_006,,,
chapter2_end_006,doute,normal,,……とてつもなく疲れた……！,chapter2_end_007,,,
chapter2_end_007,doute,normal,,……こほん！とりあえず状況を整理するのがいいよな,chapter2_end_008,,,
chapter2_end_008,moteru,normal,,うん、そうしよう。まず、この部屋には出口がない。これは理解してるよね,chapter2_end_009,,,
chapter2_end_009,doute,normal,,うん、どこを探してもダメだったし、壁や床もダメそうだったよ。肝心のドアにはなんとドアノブがついてないとはね……,chapter2_end_010,,,
chapter2_end_010,yowashi,normal,,でもでも、恋人を作ったら出れるって書いてあったよね〜。私恋愛とかしたことないから楽しみかも！,chapter2_end_011,,,
chapter2_end_011,kayo,normal,,私は反対。きっとほかの出口も探せばあるでしょ？それにわたし、あんたたちみたいなもやしと恋愛なんてぜーーーーーーったいに！いやだからね！,chapter2_end_012,,,
chapter2_end_012,moteru,normal,,あの文字が手がかりのひとつには違いないだろうけど、本人の気持ちが一番大事だし僕はみんながやりたい方に合わせるよ……！みんなの気持ちが決まったら教えてほしいな,chapter2_end_013,,,
chapter2_end_013,doute,normal,,こんな感じで大丈夫なのかなぁ……,,,,
