lineId,speakerId,expressionId,backgroundPath,text,nextLineId,affectionChanges,branches,revealSpeakerName
chapter2_kayo_001,kayo,normal,Assets/Art/Backgrounds/white_room.png,私は大葉カヨ。よろしく,chapter2_kayo_002,,,true
chapter2_kayo_002,doute,normal,,俺は蓮愛ドウテ。趣味はゲーム、血液型はA型、誕生日は1月21日です。よろしくお願いします……！,chapter2_kayo_003,,,
chapter2_kayo_003,kayo,normal,,……,chapter2_kayo_004,,,
chapter2_kayo_004,doute,normal,,……,chapter2_kayo_005,,,
chapter2_kayo_005,kayo,normal,,……なに？,chapter2_kayo_006,,,
chapter2_kayo_006,doute,normal,,いや、何も……,chapter2_kayo_007,,,
chapter2_kayo_007,doute,normal,,（……死ぬほど気まずいぞ……！）,chapter2_kayo_008,,,
chapter2_kayo_008,doute,normal,,（そうだ、ゲームによると女の子は見た目を褒められたら嬉しいんだよな……？！）,chapter2_kayo_009,,,
chapter2_kayo_009,doute,normal,,そ、そのアクセサリー似合ってるね。質感もすごいし。,chapter2_kayo_010,,,
chapter2_kayo_010,kayo,normal,,はぁ？アクセサリー、なんのこと……？,chapter2_kayo_011,,,
chapter2_kayo_011,doute,normal,,その、目玉焼きのデザインの髪飾りかな……？,chapter2_kayo_012,,,
chapter2_kayo_012,kayo,normal,,そんなのつけてない……ってなにこれ、めだまやき！？いつの間に！？,chapter2_kayo_013,,,
chapter2_kayo_013,doute,normal,,（変な子だな……）,chapter2_kayo_014,,,
chapter2_kayo_014,kayo,normal,,あ、あんたなんて目してみてるのよ……！こ、これはじょーだんでっ！この目玉焼きはアクセサリーで……！,chapter2_kayo_015,,,
chapter2_kayo_015,doute,normal,,……,chapter2_kayo_016,,,
chapter2_kayo_016,kayo,normal,,うう……聞くくらいしてくれたっていいじゃない……！,chapter2_kayo_017,,,
chapter2_kayo_017,doute,normal,,いや、つい……,chapter2_kayo_018,,,
chapter2_kayo_018,doute,normal,,（胸がキュッと締めつけられて愛おしさすら湧いてくる）,chapter2_kayo_019,,,
chapter2_kayo_019,doute,normal,,（この気持ちは、あれだ……）,chapter2_kayo_020,,,
chapter2_kayo_020,doute,normal,,（おもしろ小動物のshort動画見てる時の気持ちだ！）,chapter2_kayo_021,,,
chapter2_kayo_021,doute,normal,,えっと……似合ってるよっ！,chapter2_kayo_022,,,
chapter2_kayo_022,kayo,normal,,遅いわよっ！あんたとだけはぜーーーーーーったいに！恋愛してやらないんだから！！！,chapter2_kayo_023,,,
chapter2_kayo_023,doute,normal,,（これはもしかしなくても、怒らせちゃったな……？）,,,,
