lineId,speakerId,expressionId,backgroundPath,text,nextLineId,choice1Text,choice1NextLineId,choice2Text,choice2NextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter_kayo_3_001,doute,normal,Assets/Art/Backgrounds/white_room.png,これって……,chapter_kayo_3_002,,,,,,,,
chapter_kayo_3_002,doute,normal,,（紙の端を見ると大葉カヨと名前が綴られていた。）,chapter_kayo_3_003,,,,,,,,
chapter_kayo_3_003,doute,normal,,やっぱりカヨちゃんの、どうしてここにあるかは分からないけど……,chapter_kayo_3_004,,,,,,,,
chapter_kayo_3_004,doute,normal,,でもあの態度はそういうことなんだろうな……,chapter_kayo_3_005,,,,,,,,
chapter_kayo_3_005,doute,normal,,（どうなんだろう……カヨちゃんはこれからもドジを治すために頑張り続けるべきなのか……？）,chapter_kayo_3_006,,,,,,,,
chapter_kayo_3_006,doute,normal,,ひとまず、プレイヤーさんに相談してみよう……！,chapter_kayo_3_007,,,,,,,,
chapter_kayo_3_007,,,,（情報『大葉カヨの家族』を入手しました。）,chapter_kayo_3_008,,,,,,,,
chapter_kayo_3_008,,,,（情報『大葉カヨ』が更新され、『床のくぼみ』が『カヨのドジ』に更新されました。）,,カヨのドジを治すべきか否か,chapter_kayo_3_009,,,,,,
chapter_kayo_3_009,doute,normal,,プレイヤーさん！すみません、またお願いします……！,chapter_kayo_3_010,,,,,,,,
chapter_kayo_3_010,doute,normal,,カヨちゃんは自分なりにドジを気にしてるみたいですけど……治すことの難しさもあるし……俺はどう応援するのがいいんでしょう……？,chapter_kayo_3_011,,,,,,,,
chapter_kayo_3_011,doute,normal,,ドジを治すべきか否か……なにか他の方法でカヨちゃんが悩まなくなればいいんですけど……,,やっぱりドジは治すべきだ,chapter_kayo_3_012,休ませるべきだ,chapter_kayo_3_033,,,,
chapter_kayo_3_012,doute,normal,,……難しい話ではありますけど、カヨちゃんの気持ちを考えるとそれが一番だとは俺も思います……！,chapter_kayo_3_013,,,,,,,,
chapter_kayo_3_013,doute,normal,,ドジを治すための特訓、俺も手伝ってあげよう！,chapter_kayo_3_014,,,,,,,,
chapter_kayo_3_014,doute,normal,,（それから俺とカヨちゃんは特訓を続けて1年が経った——）,chapter_kayo_3_015,,,,,,,,
chapter_kayo_3_015,doute,normal,,……っ！,chapter_kayo_3_016,,,,,,,,
chapter_kayo_3_016,,,,（傷の痛みで目が覚める。）,chapter_kayo_3_017,,,,,,,,
chapter_kayo_3_017,doute,normal,,（あれから、カヨちゃんとの特訓で俺は何度も何度も怪我を負った。）,chapter_kayo_3_018,,,,,,,,
chapter_kayo_3_018,doute,normal,,（カヨちゃんはもうやめた方がと言うけれど、カヨちゃんのドジが治るまでは辞める訳にはいかない。）,chapter_kayo_3_019,,,,,,,,
chapter_kayo_3_019,doute,normal,,カヨちゃん！今日も頑張ろう！,chapter_kayo_3_020,,,,,,,,
chapter_kayo_3_020,kayo,normal,,ドウテ……さすがにもうやめた方が……！,chapter_kayo_3_021,,,,,,,true,
chapter_kayo_3_021,doute,normal,,今日こそは成功するかもしれないよ！ほら、諦めないでやろう！,chapter_kayo_3_022,,,,,,,,
chapter_kayo_3_022,doute,normal,,（カヨちゃんは特訓が上手くいかないからか落ち込むことが増えた。けれどきっと結果さえ出たら元気になるはずだ。）,chapter_kayo_3_023,,,,,,,,
chapter_kayo_3_023,doute,normal,,（いつも通り、様々なことをして特訓をする。）,chapter_kayo_3_024,,,,,,,,
chapter_kayo_3_024,doute,normal,,（ついに、その時が来たんだ。）,chapter_kayo_3_025,,,,,,,,
chapter_kayo_3_025,kayo,normal,,……！やった！やったあ！,chapter_kayo_3_026,,,,,,,,
chapter_kayo_3_026,kayo,normal,,ドウテ！わたし今日、1回もドジせずに済んで……！,chapter_kayo_3_027,,,,,,,,
chapter_kayo_3_027,doute,normal,,そっか！よかっ……,chapter_kayo_3_028,,,,,,,,
chapter_kayo_3_028,kayo,normal,,ドウテ……？ドウテっ！,chapter_kayo_3_029,,,,,,,,
