lineId,speakerId,expressionId,backgroundPath,text,nextLineId,choice1Text,choice1NextLineId,choice2Text,choice2NextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter_kayo_5_001,,,Assets/Art/Backgrounds/white_room.png,（どうすればいいかも分からないのに気が付けば駆け出していた。）,chapter_kayo_5_002,,,,,,,,
chapter_kayo_5_002,doute,normal,,ヨワシちゃん！カヨちゃん！,chapter_kayo_5_003,,,,,,,,
chapter_kayo_5_003,,,,（大きな声で呼びかけるとすぐに返事が来た。）,chapter_kayo_5_004,,,,,,,,
chapter_kayo_5_004,kayo,normal,,ドウテ……？！あんた、状況わかってるでしょ！早く逃げて……！,chapter_kayo_5_005,,,,,,,true,
chapter_kayo_5_005,doute,normal,,カヨちゃんたちは……？！,chapter_kayo_5_006,,,,,,,,
chapter_kayo_5_006,kayo,normal,,私は大丈夫だけど、ヨワシが……！,chapter_kayo_5_007,,,,,,,,
chapter_kayo_5_007,doute,normal,,（ヨワシちゃんは今、動けない状態なのか……！）,chapter_kayo_5_008,,,,,,,,
chapter_kayo_5_008,kayo,normal,,ヨワシのことはわたしが頑張るから、あんたは逃げなさい……！,chapter_kayo_5_009,,,,,,,,
chapter_kayo_5_009,,,,（『頑張る』その言葉を聞いて思わず我慢できずに大きな声が出た。）,chapter_kayo_5_010,,,,,,,,
chapter_kayo_5_010,doute,normal,,カヨちゃんは頑張らなくてもいい！いいんだ……！！,chapter_kayo_5_011,,,,,,,,
chapter_kayo_5_011,kayo,normal,,はぁ……？あ、あんた頭おかしいんじゃないの？！,chapter_kayo_5_012,,,,,,,,
chapter_kayo_5_012,kayo,normal,,わたしが今頑張らなきゃ、ヨワシが……！,chapter_kayo_5_013,,,,,,,,
chapter_kayo_5_013,doute,normal,,それは、そうなんだけど……そうじゃなくて……！,chapter_kayo_5_014,,,,,,,,
chapter_kayo_5_014,doute,normal,,カヨちゃんが今頑張ると、確実にドジると思うんだ！,chapter_kayo_5_015,,,,,,,,
chapter_kayo_5_015,doute,normal,,カヨちゃんはもう十分頑張ったでしょ、それこそ昔から誰よりも！だから代わりに今は俺に、頑張らせてほしい……！,chapter_kayo_5_016,,,,,,,,
chapter_kayo_5_016,kayo,normal,,わけ、わかんない……具体的にどうしろって言うの？,chapter_kayo_5_017,,,,,,,,
chapter_kayo_5_017,doute,normal,,自販機からバールを買ってこっちに渡してほしいんだ！,chapter_kayo_5_018,,,,,,,,
chapter_kayo_5_018,kayo,normal,,…………,chapter_kayo_5_019,,,,,,,,
chapter_kayo_5_019,doute,normal,,カヨちゃんっ！,chapter_kayo_5_020,,,,,,,,
chapter_kayo_5_020,kayo,normal,,……あーもー、わかったわっ！,chapter_kayo_5_021,,,,,,,,
chapter_kayo_5_021,,,,（カヨちゃんの走るぱたぱたと言う足音が聞こえる。）,chapter_kayo_5_022,,,,,,,,
chapter_kayo_5_022,doute,normal,,走ったら転ぶから！歩いてっ！,chapter_kayo_5_023,,,,,,,,
chapter_kayo_5_023,kayo,normal,,う、うるさいわね……！,chapter_kayo_5_024,,,,,,,,
chapter_kayo_5_024,,,,（ぎゃいぎゃいと騒ぎながらもしっかりと受け渡しを完了させた。）,chapter_kayo_5_025,,,,,,,,
chapter_kayo_5_025,doute,normal,,（さて……2人を助けなきゃ！）,,,,,,,,,
